Row,Column
0, 67
0, 391
0, 471
0, 595
1, 94
1, 212
1, 221
1, 284
1, 316
1, 336
1, 337
1, 349
1, 362
1, 367
1, 457
1, 476
1, 484
1, 533
1, 548
1, 583
1, 591
1, 608
1, 619
1, 626
1, 642
1, 655
1, 667
1, 696
1, 784
1, 792
1, 824
1, 849
1, 889
1, 949
2, 43
2, 61
2, 68
2, 131
2, 133
2, 175
2, 187
2, 250
2, 305
2, 369
2, 411
2, 553
2, 570
2, 604
2, 642
2, 643
2, 662
2, 685
2, 699
2, 745
2, 776
2, 924
3, 13
3, 546
4, 100
4, 155
4, 236
4, 284
4, 425
4, 429
4, 434
4, 443
4, 575
4, 610
4, 611
4, 619
4, 647
4, 656
4, 663
4, 679
4, 695
4, 744
4, 778
4, 791
4, 866
4, 970
4, 977
5, 61
5, 86
5, 92
5, 94
5, 155
5, 160
5, 212
5, 284
5, 299
5, 312
5, 317
5, 320
5, 329
5, 337
5, 348
5, 350
5, 360
5, 369
5, 386
5, 390
5, 408
5, 419
5, 421
5, 435
5, 470
5, 495
5, 507
5, 528
5, 529
5, 537
5, 547
5, 586
5, 591
5, 604
5, 611
5, 614
5, 672
5, 686
5, 696
5, 714
5, 742
5, 747
5, 766
5, 792
5, 932
6, 78
6, 101
6, 175
6, 187
6, 215
6, 263
6, 349
6, 384
6, 417
6, 433
6, 477
6, 610
6, 771
6, 804
7, 91
7, 130
7, 441
7, 458
7, 517
7, 607
7, 750
8, 5
8, 9
8, 18
8, 137
8, 190
8, 192
8, 219
8, 229
8, 244
8, 301
8, 321
8, 427
8, 439
8, 446
8, 457
8, 468
8, 494
8, 498
8, 517
8, 533
8, 575
8, 598
8, 610
8, 642
8, 667
8, 671
8, 740
8, 753
8, 770
8, 772
8, 788
8, 861
8, 863
8, 880
8, 992
9, 50
9, 130
9, 155
9, 185
9, 187
9, 190
9, 192
9, 205
9, 249
9, 378
9, 461
9, 463
9, 487
9, 535
9, 565
9, 574
9, 575
9, 624
9, 642
9, 646
9, 678
9, 685
9, 882
9, 941
9, 981
9, 994
10, 9
10, 48
10, 124
10, 133
10, 202
10, 248
10, 257
10, 287
10, 309
10, 331
10, 350
10, 368
10, 452
10, 500
10, 568
10, 583
10, 607
10, 610
10, 617
10, 628
10, 634
10, 639
10, 663
10, 801
10, 920
10, 924
10, 978
10, 983
11, 45
11, 83
11, 164
11, 177
11, 190
11, 202
11, 320
11, 384
11, 487
11, 570
11, 646
11, 663
11, 694
11, 764
11, 784
11, 897
11, 982
11, 989
12, 178
12, 225
12, 234
12, 245
12, 289
12, 312
12, 327
12, 401
12, 438
12, 451
12, 453
12, 454
12, 532
12, 610
12, 611
12, 616
12, 619
12, 628
12, 658
12, 663
12, 688
12, 709
12, 763
12, 784
12, 860
12, 871
12, 875
12, 898
12, 915
12, 970
13, 4
13, 155
13, 212
13, 215
13, 333
13, 350
13, 369
13, 396
13, 585
13, 598
13, 689
13, 705
13, 742
13, 811
13, 875
13, 910
13, 996
13, 997
14, 11
14, 13
14, 21
14, 36
14, 45
14, 46
14, 61
14, 71
14, 116
14, 133
14, 181
14, 206
14, 244
14, 249
14, 250
14, 253
14, 279
14, 323
14, 365
14, 444
14, 450
14, 457
14, 463
14, 470
14, 472
14, 546
14, 554
14, 558
14, 589
14, 593
14, 615
14, 620
14, 631
14, 653
14, 656
14, 675
14, 688
14, 690
14, 720
14, 724
14, 733
14, 743
14, 806
14, 836
14, 839
14, 850
14, 856
14, 862
14, 990
15, 2
15, 44
15, 130
15, 155
15, 177
15, 181
15, 369
15, 411
15, 412
15, 451
15, 493
15, 607
15, 615
15, 662
15, 669
15, 853
16, 42
16, 73
16, 76
16, 88
16, 90
16, 185
16, 192
16, 240
16, 263
16, 282
16, 296
16, 318
16, 379
16, 454
16, 460
16, 470
16, 473
16, 484
16, 493
16, 521
16, 522
16, 528
16, 618
16, 625
16, 628
16, 655
16, 699
16, 730
16, 744
16, 777
16, 782
16, 784
16, 791
16, 792
16, 803
16, 804
16, 920
16, 936
16, 981
16, 983
16, 994
17, 130
17, 155
17, 255
17, 476
17, 575
17, 685
18, 3
18, 13
